fund_name,to_risk_morningstar,category,rel,volatility,col_3,yr,return,ytd_pct,anlsd_pct_1,yr_2,anlsd_pct_3,yr_3,anlsd_pct_5,yr_4,anlsd_10_pct,yr_5
Fidelity Enhanced International ETF,Average,,,8.80,,,28.12,,26.92,,16.06,,11.30,,10.05,
Fidelity Enhanced Large Cap Core ETF,Below,,Average,12.02,,,,9.90,6.99,,18.69,,15.73,,15.97,
Fidelity ETF Enhanced Large Cap Growth,Average,,,15.59,,,11.42,,7.53,,26.21,,16.69,,18.73,
Fidelity Enhanced Large Cap Value ETF,Average,,,"11,.72",,,,8.46,6.76,,10.35,,12.84,,12.29,
Fidelity Enhanced Mid Cap ETF,Average,,,14.93,,,,5.51,3.17,,12.54,,11.26,,12.49,
Fidelity Enhanced Small Cap ETF,Above,,Average,19.73,,,11.35,,8.55,,14.81,,10.55,,11.76,
Fidelity High Dividend ETF,Above,,Average,10.65,,,,9.34,7.67,,14.75,,16.24,,,
Fidelity International High Dividend ETF,Average,,,8.47,,,29.98,,30.03,,13.32,,12.79,,,
Fidelity International Value Factor ETF,Average,,,8.86,,,35.79,,34.70,,17.14,,13.63,,,
Fidelity Momentum Factor ETF,Below,,Average,14.56,,,14.47,,10.56,,22.04,,14.94,,,
Fidelity Index ETF MSCI Communication Services,Average,,,15.91,,,17.07,,13.99,,29.60,,11.41,,13.68,
Fidelity Index ETF MSCI Consumer Discretionary,Average,,,20.24,,,,0.19,-4.05,,18.94,,9.02,,15.28,
Fidelity MSCI Energy Index ETF,Average,,,18.61,,,,1.62,-0.26,,0.43,,23.40,,8.44,
Fidelity MSCI Financials Index ETF,Average,,,17.04,,,,8.41,6.28,,16.03,,15.96,,14.20,
Fidelity MSCI Industrials Index ETF,Below,,Average,15.35,,,"11,77",,9.64,,15.41,,13.96,,14.75,
Fidelity Index ETF MSCI Information Technology,Below,,Average,19.13,,,15.26,,10.87,,30.11,,17.88,,23.69,
Fidelity MSCI Materials Index ETF,Average,,,15.36,,,,6.05,4.50,,4.93,,8.35,,11.36,
Fidelity MSCI Utilities Index ETF,Above,,Average,13.31,,,,8.25,7.32,,5.69,,10.15,,11.52,
Fidelity Quality Factor ETF,Below,,Average,11.27,,,,9.96,7.38,,16.97,,14.03,,,
Fidelity Small-Mid Multifactor ETF,Low,,,15.06,,,,2.94,1.03,,10.20,,10.92,,,
Fidelity U.S. Multifactor ETF,Below,,Average,10.75,,,,7.77,5.20,,14.64,,14.58,,,
Fidelity Value Factor ETF,Above,,Average,12.07,,,12.17,,9.53,,16.14,,14.84,,,
First Trust Active Factor Large Cap ETF,Below,,Average,11.94,,,,7.65,5.07,,16.32,,13.69,,,
First Trust Active Factor Mid Cap ETF,Above,,Average,16.17,,,,4.40,2.46,,13.07,,11.54,,,
First Trust Active Factor Small Cap ETF,Average,,,17.21,,,,4.38,2.06,,10.48,,9.37,,,
First Trust Dow 30 Equal Weight ETF,Average,,,11.04,,,,8.08,5.98,,10.82,,11.14,,,
Dividend First Trust Index Dow Jones Fund Global Select,Above,,Average,9.22,,,35.07,,34.38,,13.96,,13.33,,10.42,
Index First Trust Fund Dow Jones Select MicroCap,Above,,Average,20.51,,,11.64,,9.87,,11.10,,12.69,,11.99,
First Trust EIP Power Solutions ETF,Low,,,11.09,,,,8.45,7.81,,6.97,,10.88,,,
First Trust Financials AlphaDEX@ Fund,Average,,,20.83,,,,7.27,5.40,,12.97,,15.33,,13.79,
First AlphaDEX@ Trust Industrials/Producer Fund Durables,Average,,,18.29,,,,1.53,-0.64,,12.89,,11.10,,13.92,
First Trust Long/Short Equity ETF,Below,,Average,9.45,,,,2.23,0.40,,10.56,,11.49,,10.14,
First Trust Materials AlphaDEX@ Fund,Above,,Average,19.13,,,10.33,,9.54,,0.59,,8.67,,11.61,
First Leaders Trust Index Morningstar Fund Dividend,Above,,Average,12.57,,,,6.64,5.89,,7.43,,13.26,,11.84,
First Trust North American Energy,Low,,,12.29,,,,1.49,1.50,,11.94,,16.71,,11.64,
First Dividend Trust Index STOXXD Fund European Select,Above,,Average,11.75,,,50.85,,50.51,,18.25,,12.33,,10.04,
First Trust Technology AlphaDEX@ Fund,Average,,,19.52,,,,7.40,3.61,,19.40,,8.98,,19.33,
First Trust Utilities AlphaDEXO Fund,Above,,Average,13.33,,,13.01,,11.87,,8.95,,12.87,,"11,.23",
First Fund Trust Value Line@ Dividend Index,Low,,,9.13,,,,1.02,-0.07,,3.54,,8.44,,10.32,
First Trust Water ETF,Below,,Average,13.66,,,,1.33,-0.41,,8.27,,9.91,,15.70,
First ETF Trust WCM International Equity,Below,,Average,10.15,,,21.83,,20.32,,"11,.37",,8.72,,,
Dividend FlexShares Dynamic International Index Quality Fund,Above,,Average,10.16,,,28.15,,27.85,,17.35,,11.69,,11.08,
FlexShares Dividend Index International Fund Quality,Below,,Average,8.19,,,26.39,,25.23,,15.86,,10.79,,9.62,
FlexShares Markets ex-US Morningstar Factor Tilt Developed Index Fund,Average,,,8.38,,,30.12,,29.33,,15.47,,11.15,,9.91,
Upstream Natural Resources Index,Below,,Average,13.08,,,21.72,,21.49,,1.39,,11.31,,11.90,
Index FlexShares Fund Quality Dividend Defensive,Below,,Average,9.55,,,10.20,,7.83,,14.64,,13.91,,13.29,
FlexShares Quality Dividend Index Fund,Average,,,11.44,,,,9.50,7.25,,13.79,,13.17,,12.87,
FlexShares US Quality Low Volatility,Low,,,8.34,,,,5.10,3.12,,10.63,,11.87,,,
Franklin FTSE Europe ETF,Below,,Average,9.78,,,26.81,,25.54,,14.49,,10.88,,,
Franklin FTSE Eurozone ETF,Below,,Average,10.14,,,31.35,,30.04,,14.25,,14.09,,,
Franklin FTSE India ETF,Average,,,11.18,,,55.39,,-6.38,,7.34,,9.82,,,
Franklin FTSE Japan Hedged ETF,Low,,,13.37,,,21.04,,20.41,,25.39,,20.31,,,
Franklin FTSE Taiwan ETF,Below,,Average,17.75,,,21.34,,19.56,,20.63,,13.80,,,
Franklin Index ETF International Core Dividend Tilt,Below,,Average,8.38,,,25.86,,24.86,,13.67,,13.91,,,
Franklin Systematic Style Premia ETF,Average,,,9.98,,,,7.65,8.78,,6.18,,8.52,,,
Franklin ETF U.S. Core Divvidend Tilt Index,Below,,Average,12.22,,,11.58,,8.73,,19.09,,14.27,,,
Franklin U.S. Equity Index ETF,Below,,Average,12.41,,,10.53,,7.42,,19.08,,13.24,,,
Global X Adaptive U.S. Factor ETF,Low,,,11.63,,,,6.46,4.93,,13.14,,15.94,,,
Global X Copper Miners ETF,High,,,26.64,,,84.88,,81.17,,25.73,,23.02,,23.44,
Global X FTSE Southeast Asia ETF,Below,,Average,10.17,,,11.63,,10.78,,7.83,,8.90,,8.46,
Global X Gold Explorers ETF,Above,,Average,32.14,,,177.51,174.52,,,47.86,,21.85,,24.34,
Global ETF X MLP & Energy Infrastructure,Above,,Average,15.31,,,-.39,,-2.77,,15.28,,23.50,,12.79,
Global Growth X ETF s&P 5000 Covered Call &,Average,,,9.74,,,,5.27,3.36,,13.62,,11.74,,,
Global X s&P 500@ Covered Call ETF,Below,,Average,8.80,,,,0.43,-0.45,,8.68,,8.79,,9.07,
Global X Uranium ETF,High,,,36.56,,,58.85,,55.46,,31.28,,28.87,,17.35,
Goldman Sachs ActiveBeta@ Europe,Below,,Average,8.92,,,26.15,,24.78,,14.33,,10.19,,,
International Goldman Sachs Equity ActiveBeta@ ETF,Below,,Average,8.13,,,23.63,,22.63,,13.50,,9.56,,9.72,
Cap Goldman Equity Sachs ETF ActiveBeta@ U.S. Large,Average,,,12.23,,,,9.06,6.27,,17.65,,13.80,,15.21,
Goldman Sachs ActiveBeta@ U.S. Small,Average,,,18.61,,,,4.70,2.62,,9.54,,8.51,,,
Goldman ETF Sachs Hedge Industry VIP,Below,,Average,14.52,,,17.48,,14.60,,26.94,,11.97,,,
Goldman Sachs JUST U.S Large Cap,Average,,,12.13,,,10.05,,7.38,,17.79,,14.10,,,
Disruptors GraniteShares ETF Nasdaq Select,Below,,Average,16.81,,,11.06,,8.38,,23.08,,14.13,,,
Builder Guinness ETF Atkinson Asia Pacific Dividend,Low,,,10.88,,,13.30,,11.91,,13.03,,8.56,,10.59,
ETF Guinness Atkinson Dividend Builder,Low,,,,7.08,,,4.52,2.86,,9.95,,8.56,,6.23,
(ex-US) Hartford Multifactor ETF Developed Markets,Below,,Average,,7.27,,25.35,,24.65,,14.54,,10.16,,9.49,
Hartford ETF Multifactor Emerging Markets,Below,,Average,9.54,,,22.58,,20.76,,15.04,,10.21,,9.01,
Hartford Multifactor Small Cap ETF,Below,,Average,18.01,,,,4.00,2.28,,8.27,,10.93,,11.14,
Hartford Multifactor US Equity ETF,Below,,Average,10.61,,,,8.59,6.55,,12.20,,13.02,,12.62,
HCM Defender 100 Index ETF,Above,,Average,19.39,,,,9.58,3.91,,27.70,,14.77,,,
HCM Defender 500 Index ETF,High,,,15.22,,,12.71,,8.48,,19.58,,14.72,,,
iMGP ETF DBi Managed Futures Strategy,Average,,,14.37,,,,7.01,7.07,,0.44,,9.23,,,
Impact Empowerment Shares NAACP ETF Minority,Above,,Average,13.16,,,15.06,,11.89,,21.90,,15.26,,,
Inspire International ETF,Average,,,8.70,,,20.48,,18.88,,10.90,,8.94,,,
Inspire Small/Mid Cap ETF,Above,,Average,18.57,,,-1.22,,33.16,,7.22,,8.72,,,
Invesco Aerospace & Defense ETF,Below,,Average,12.80,,,29.03,,26.10,,22.94,,19.67,,18.25,
Invesco Building & Construction ETF,High,,,24.12,,,17.23,,14.33,,27.92,,18.41,,16.29,
Invesco Fund DB Commodity Index Tracking,Above,,Average,13.77,,,,"1,.72",3.54,,-1.92,,12.34,,8.28,
Dividend Invesco Dow ETF Jones Industrial Average,Average,,,11.03,,,,8.12,6.62,,8.92,,12.29,,13.01,
Invesco Production Energy ETF Exploration &,Above,,Average,23.93,,,-10.82,,-8.03,,-3.62,,25.50,,6.19,
Invesco India ETF,Below,,Average,11.27,,,-0.33,,1.62,,9.18,,10.48,,10.96,
Invesco Large Cap Growth ETF,Average,,,16.21,,,18.05,,14.10,,24.73,,14.13,,16.84,
Invesco Large Cap Value ETF,Average,,,12.58,,,11.60,,10.40,,10.60,,14.48,,12.25,
Invesco Next Gen Connectivity ETF,Below,,Average,15.06,,,19.01,,17.82,,20.90,,10.80,,16.77,
Invesco Pharmaceuticals ETF,Average,,,14.23,,,22.41,,20.78,,8.13,,9.92,,6.37,
Invesco U.S. ETF RAFI Developed Markets ex,Average,,,8.91,,,32.49,,31.80,,16.22,,13.42,,10.77,
Invesco RAFI Emerging Markets ETF,Above,,Average,10.99,,,22.19,,20.47,,14.62,,9.59,,11.35,
Invesco RAFI US 1000 ETF,Average,,,11.87,,,10.80,,9.06,,12.95,,14.60,,13.81,
Invesco Russell 1000 Equal Weight ETF,Average,,,13.58,,,,4.14,2.60,,7.77,,8.49,,"11,.38",
Invesco s&P 100 Equal Weight ETF,Average,,,10.75,,,10.06,,8.17,,14.78,,14.29,,15.16,
Invesco S&P 500 GARP ETF,High,,,14.37,,,,3.31,2.10,,9.01,,11.46,,15.31,
Invesco S&P 500 Revenue ETF,Average,,,11.72,,,11.01,,8.84,,13.40,,15.25,,14.33,
ETF Invesco S&P 500 Value with Momentum,Average,,,14.18,,,12.93,,11.16,,9.72,,13.67,,12.72,
Invesco ETF S&P 500@0 Enhanced Value,High,,,15.26,,,10.91,,9.86,,11.00,,14.69,,12.33,
Invesco S&P 500@ Equal Weight,Average,,,19.50,,,,1.88,-0.15,,1.46,,23.97,,8.91,
Invesco Financials S&P ETF 500@ Equal Weight,Average,,,18.52,,,,3.79,2.03,,10.35,,13.25,,13.42,
Invesco Industrials S&P ETF 500@ Equal Weight,Average,,,15.23,,,,7.19,5.12,,14.00,,14.08,,15.62,
Technology Invesco s&P ETF 5000 Equal Weight,Below,,Average,18.02,,,15.74,,12.11,,20.35,,13.82,,19.64,
Invesco Utilities S&P ETF 500@ Equal Weight,Average,,,12.65,,,,8.32,7.49,,7.31,,11.88,,11.67,
Invesco S&P 5000 High Beta ETF,High,,,22.17,,,25.97,,21.79,,20.67,,17.33,,17.54,
Invesco s&P 500@ Momentum ETF,High,,,16.33,,,19.38,,16.07,,25.35,,19.64,,19.39,
Invesco s&P 500@ Pure Value ETF,Above,,Average,16.36,,,,9.72,8.95,,8.68,,14.12,,11.23,
Invesco S&P 500@ Quality ETF,Below,,Average,10.85,,,,6.79,4.35,,17.22,,14.62,,15.52,
Invesco s&P 500@ Top 50 ETF,High,,,14.17,,,12.11,,8.49,,25.72,,17.52,,18.03,
Invesco S&P Emerging Markets Low,Low,,,,6.17,,13.91,,12.92,,6.85,,8.95,,7.99,
Invesco S&P Global Water Index ETF,Below,,Average,11.38,,,10.36,,8.56,,8.50,,8.38,,11.72,
Invesco Momentum S&P ETF International Developed,Average,,,9.35,,,34.65,,32.97,,20.53,,14.90,,13.21,
Invesco S&P MidCap 400 Revenue ETF,High,,,17.80,,,,4.25,2.88,,11.50,,14.00,,13.28,
Invesco S&P MidCap 400@ GARP ETF,Above,,Average,18.94,,,,1.30,0.37,,10.21,,10.93,,12.21,
Invesco ETF S&P MidCap 400@ Pure Value,High,,,21.12,,,,1.25,0.47,,10.27,,13.98,,13.18,
Invesco S&P MidCap Momentum ETF,High,,,19.19,,,,7.12,5.03,,19.40,,13.18,,18.66,
Invesco S&P MidCap Quality ETF,Above,,Average,17.51,,,-0.76,,33.04,,12.80,,11.30,,14.00,
Invesco Momentum S&P ETF MidCap Value with,Average,,,18.93,,,11.71,,10.13,,11.53,,14.18,,13.31,
Invesco ETF S&P SmallCap 600 Revenue,High,,,21.14,,,,1.69,0.27,,8.36,,14.28,,13.27,
Invesco S&P SmallCap Momentum ETF,Above,,Average,19.17,,,,5.50,3.48,,12.68,,9.95,,13.62,
Invesco Momentum S&P ETF SmallCap Value with,High,,,20.66,,,,1.71,0.39,,6.26,,12.76,,12.71,
Invesco s&P Spin-Off ETF,High,,,19.31,,,15.24,,12.53,,20.40,,13.41,,12.01,
Invesco ETF s&P Ultra Dividend Revenue,Above,,Average,17.03,,,,4.97,3.61,,6.83,,13.73,,12.09,
Invesco Semiconductors ETF,High,,,28.83,,,29.63,,24.44,,29.52,,19.05,,26.85,
Invesco Zacks Mid-Cap ETF,Average,,,12.95,,,,1.67,0.15,,5.56,,9.76,,"11,.44",
Invesco Zacks Multi-Asset Income ETF,High,,,13.77,,,,3.65,3.25,,8.87,,10.81,,9.41,
iShares Core 80/20 Aggressive,Low,,,8.83,,,11.66,,9.85,,12.91,,9.60,,10.95,
iShares Core Divvidend Growth ETF,Below,,Average,10.11,,,,8.45,6.70,,10.39,,12.28,,14.27,
iShares Core MSCI Europe ETF,Average,,,9.72,,,26.28,,24.74,,13.80,,10.26,,9.59,
iShares Developed Core Markets MSCI International ETF,Above,,Average,8.73,,,23.81,,22.70,,13.48,,9.70,,,
iShares Core S&P 500 ETF,Average,,,12.08,,,10.60,,7.66,,18.86,,15.04,,16.00,
iShares Core S&P Mid-Cap ETF,Above,,Average,16.11,,,,1.61,0.02,,9.02,,9.48,,11.87,
iShares Market Core ETF S&P Total U.S_ Stock,Above,,Average,12.72,,,,9.90,7.02,,18.21,,13.61,,15.41,
iShares Currency Hedged MSCI ACWI,Low,,,8.84,,,17.31,,16.32,,14.58,,12.29,,11.22,
iShares Currency Hedged MSCI EAFE,Low,,,8.96,,,16.61,,16.34,,13.90,,11.79,,11.65,
iShares Eurozone Currency ETF Hedged MSCI,Below,,Average,11.25,,,17.06,,16.26,,14.92,,13.89,,11.55,
iShares ETF Currency Hedged MSCI Japan,Average,,,13.82,,,20.67,,19.90,,24.66,,19.71,,13.73,
iShares Dow Jones U.S. ETF,Average,,,12.61,,,,9.93,7.06,,18.45,,13.87,,15.42,
iShares ETF Edge MSCI Intl Value Factor,Average,,,8.66,,,36.13,,35.74,,18.72,,15.60,,10.62,
iShares ESG MSCI KLD 400 ETF,Above,,Average,13.57,,,11.00,,7.75,,18.87,,14.47,,15.79,
iShares ESG Optimized MSCI USA ETF,Above,,Average,12.41,,,,8.79,5.97,,16.62,,13.04,,15.65,
iShares Europe ETF,Average,,,9.65,,,26.48,,24.96,,13.89,,10.85,,9.51,
iShares Expanded Tech Sector ETF,Average,,,19.66,,,19.46,,15.18,,36.35,,18.20,,23.41,
iShares Global 100 ETF,Above,,Average,11.97,,,18.82,,15.61,,22.62,,17.20,,16.54,
iShares Global Comm Services ETF,Below,,Average,13.31,,,19.89,,17.15,,28.24,,12.65,,11.28,
iShares Global Energy ETF,Below,,Average,16.09,,,,4.54,5.98,,2.19,,20.04,,9.19,
iShares Global Equity Factor ETF,Average,,,10.44,,,15.76,,13.28,,17.08,,12.46,,12.22,
iShares Global Financials ETF,Below,,Average,13.10,,,20.79,,19.14,,19.07,,16.81,,12.65,
iShares Global Industrials ETF,Low,,,11.79,,,17.75,,15.77,,15.75,,12.64,,12.92,
iShares Global Tech ETF,Below,,Average,19.27,,,17.68,,13.84,,29.25,,17.43,,22.77,
iShares International Equity Factor ETF,Above,,Average,8.25,,,26.30,,25.29,,15.04,,11.03,,9.18,
iShares Latin America 40 ETF,Average,,,16.63,,,42.83,,41.19,,11.04,,8.63,,9.71,
iShares ACWI ETF Low Carbon Optimized MSCI,Average,,,10.51,,,14.12,,11.49,,16.97,,11.83,,13.01,
iShares Morningstar Growth ETF,Average,,,16.15,,,,9.84,5.93,,25.35,,13.59,,17.82,
iShares Morningstar Mid-Cap ETF,Average,,,14.32,,,,3.70,1.58,,10.16,,9.25,,11.57,
iShares ETF Morningstar Small-Cap Value,Above,,Average,19.10,,,,3.90,2.62,,8.39,,10.65,,9.47,
iShares Morningstar U.S. Equity ETF,Average,,,12.46,,,10.41,,7.35,,19.02,,13.90,,15.32,
iShares Morningstar Value ETF,Average,,,10.94,,,11.18,,9.22,,12.78,,13.96,,12.61,
iShares MSCI EAFE ETF,Average,,,8.60,,,22.66,,21.55,,12.98,,9.36,,9.27,
iShares Cap ETF MSCI Emerging Markets Small,Average,,,9.29,,,10.81,,10.16,,10.76,,8.38,,8.95,
iShares ETF MSCI Intl Momentum Factor,Average,,,8.64,,,25.90,,24.23,,15.43,,9.33,,10.82,
iShares MSCI Intl Quality Factor ETF,Above,,Average,9.03,,,17.19,,15.82,,10.72,,8.20,,9.88,
iShares ETF MSCI Intl Small-Cap Multifactor,Average,,,9.02,,,24.62,,24.25,,11.99,,8.79,,9.73,
iShares MSCI Kokusai ETF,Above,,Average,10.95,,,13.09,,10.33,,17.49,,13.35,,14.00,
iShares MSCI Taiwan ETF,Low,,,17.22,,,18.09,,16.01,,19.06,,12.42,,16.15,
iShares MSCI USA Equal Weighted ETF,Below,,Average,13.39,,,,3.55,1.68,,10.41,,9.60,,12.36,
iShares MSCI USA Size Factor ETF,Below,,Average,13.47,,,,3.85,2.07,,10.47,,9.84,,12.61,
iShares MSCI World ETF,Average,,,10.62,,,13.75,,11.09,,17.17,,12.85,,13.55,
iShares Russell 1000 ETF,Average,,,12.44,,,10.01,,7.10,,18.49,,14.01,,15.65,
iShares Russell 1000 Growth ETF,Average,,,15.80,,,11.34,,7.34,,26.56,,15.71,,19.22,
iShares Russell 1000 Value ETF,Average,,,11.80,,,,"8,33",6.75,,9.94,,11.68,,"11,.47",
iShares Russell 2000 Value ETF,Average,,,19.70,,,,6.12,4.39,,7.99,,9.02,,10.20,
iShares Russell 3000 ETF,Above,,Average,12.67,,,,9.83,6.88,,18.00,,13.50,,15.30,
iShares Russell Mid-Cap ETF,Average,,,14.68,,,,4.00,1.90,,10.51,,8.89,,12.05,
iShares Russell Mid-Cap Value ETF,Average,,,14.49,,,,4.20,2.59,,8.38,,10.17,,10.73,
iShares Russell Top 200 ETF,Average,,,12.50,,,11.69,,8.46,,21.05,,15.63,,16.80,
iShares Russell Top 200 Growth ETF,Average,,,16.01,,,11.20,,7.29,,28.20,,17.20,,20.26,
iShares Russell Top 200 Value ETF,Below,,Average,10.79,,,10.46,,8.85,,10.62,,12.41,,11.76,
iShares S&P 100 ETF,Above,,Average,13.03,,,12.31,,9.08,,23.34,,16.85,,17.20,
iShares S&P 500 Growth ETF,Average,,,15.01,,,14.66,,10.61,,24.68,,15.50,,18.07,
iShares S&P 500 Value ETF,Average,,,11.49,,,,5.84,4.03,,11.82,,13.39,,12.67,
iShares S&P Mid-Cap 400 Value ETF,Below,,Average,17.13,,,,1.08,0.07,,7.92,,11.23,,11. .59,
iShares S&P Small-Cap 600 Value ETF,Above,,Average,20.36,,,,0.53,1.03,,6.09,,9.25,,10.52,
iShares U.S. Basic Materials ETF,Average,,,15.46,,,14.29,,12.59,,5.45,,8.93,,11.20,
iShares U.S_ Broker-Dealers &,Average,,,20.65,,,19.67,,17.00,,21.23,,20.46,,19.10,
iShares U.S. Energy ETF,Average,,,18.21,,,-1.55,,-0.27,,-0.57,,22.00,,7.85,
iShares U.S. Equity Factor ETF,Average,,,12.63,,,,9.46,6.63,,18.77,,15.14,,14.33,
iShares Active ETF U.S. Equity Factor Rotation,Above,,Average,13.30,,,12.71,,9.68,,24.43,,16.79,,,
iShares U.S. Financial Services ETF,Average,,,17.85,,,13.04,,10.98,,18.97,,15.80,,14.92,
iShares U.S. Financials ETF,Below,,Average,16.95,,,11.27,,9.36,,17.76,,16.76,,14.43,
iShares U.S. Insurance ETF,Below,,Average,15.16,,,,2.07,0.80,,11.83,,17.64,,13.55,
iShares U.S. Pharmaceuticals ETF,Average,,,15.01,,,24.01,,21.83,,9.42,,9.79,,7.40,
iShares ETF U.S. Small-Cap Equity Factor,Average,,,18.36,,,,6.18,3.82,,12.46,,12.03,,12.39,
iShares Multisector U.S. ETF Tech Breakthrough,Below,,Average,18.01,,,,8.17,4.72,,26.80,,12.41,,,
iShares U.S. Technology ETF,Average,,,19.80,,,18.14,,13.80,,34.87,,19.41,,24.37,
iShares U.S. Utilities ETF,Average,,,12.67,,,,7.17,6.18,,6.26,,10.21,,11.27,
iShares ETF US Consumer Discretionary,Below,,Average,17.57,,,,1.56,-1.91,,18.64,,9.19,,13.15,
John International Hancock Multifactor ETF Developed,Below,,Average,8.20,,,24.59,,23.60,,13.37,,9.83,,,
ETF John Hancock Multifactor Large Cap,Average,,,12.14,,,,8.82,6.39,,15.04,,12.98,,14.59,
John Hancock Multifactor Mid Cap ETF,Average,,,15.18,,,,4.55,2.60,,9.69,,9.35,,12.32,
JPMorgan Diversified Return U.S_,Low,,,10.91,,,,4.28,2.75,,8.02,,11.03,,12.30,
